"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,0.000778448068467608,0.632634888315944,1,3,4,2,1,4,3,2
"2",-1.5,-1.5,-0.75,-1,0.00155689613693566,2.53156852686006,2,3,4,1,1,3,4,2
"3",-1.5,-1.5,-0.75,1,0.00467068841080326,22.7902905833182,2,3,4,1,1,2,4,3
"4",-1.5,-1.5,-0.75,1.5,0.00544913647927314,31.0207179730031,2,3,4,1,1,2,4,3
"5",-1.5,-1.5,-0.2,-1.5,0.00102024564998926,0.632758097592655,1,3,4,2,1,4,3,2
"6",-1.5,-1.5,-0.2,-1,0.00204049129997808,2.5318467040063,1,3,4,2,1,3,4,2
"7",-1.5,-1.5,-0.2,1,0.00612147389993428,22.7915062178707,1,3,4,2,1,2,4,3
"8",-1.5,-1.5,-0.2,1.5,0.00714171954992304,31.0222473683893,1,3,4,2,1,2,4,3
"9",-1.5,-1.5,0.2,-1.5,0.00110561393018838,0.634045430789985,1,4,3,2,1,4,3,2
"10",-1.5,-1.5,0.2,-1,0.0022112278603772,2.53628747185993,1,3,4,2,1,3,4,2
"11",-1.5,-1.5,0.2,1,0.00663368358112909,22.8272217389393,1,3,4,2,1,2,4,3
"12",-1.5,-1.5,0.2,1.5,0.00773929751131686,31.070446831409,1,3,4,2,1,2,4,3
"13",-1.5,-1.5,0.75,-1.5,0.000881727731467663,0.633739468511111,1,4,3,2,1,4,3,2
"14",-1.5,-1.5,0.75,-1,0.00176345546293688,2.53491987642938,1,3,4,2,1,3,4,2
"15",-1.5,-1.5,0.75,1,0.00529036638881025,22.814050902174,1,2,4,3,1,2,4,3
"16",-1.5,-1.5,0.75,1.5,0.00617209412027597,31.052436007128,1,2,4,3,1,2,4,3
"17",-1.5,-1,-0.75,-1.5,0.000518965378977665,1.12480718795644,1,3,4,2,1,2,4,3
"18",-1.5,-1,-0.75,-1,0.00103793075795711,3.37510441405123,1,3,4,2,1,2,4,3
"19",-1.5,-1,-0.75,1,0.00311379227387043,23.6311936998139,1,3,4,2,1,2,4,3
"20",-1.5,-1,-0.75,1.5,0.00363275765284876,31.5089411166005,1,3,4,2,1,2,4,3
"21",-1.5,-1,-0.2,-1.5,0.000680163766659359,1.1249227173417,1,3,4,2,1,2,4,3
"22",-1.5,-1,-0.2,-1,0.00136032753331872,3.37532247132814,1,3,4,2,1,2,4,3
"23",-1.5,-1,-0.2,1,0.00408098259995615,23.6316918537214,1,2,4,3,1,2,4,3
"24",-1.5,-1,-0.2,1.5,0.00476114636661551,31.5094767909316,1,2,4,3,1,2,4,3
"25",-1.5,-1,0.2,-1.5,0.000737075953458621,1.1267229453942,1,3,4,2,1,2,4,3
"26",-1.5,-1,0.2,-1,0.00147415190691813,3.38030761561309,1,2,4,3,1,2,4,3
"27",-1.5,-1,0.2,1,0.00442245572075195,23.6632635447356,1,2,4,3,1,2,4,3
"28",-1.5,-1,0.2,1.5,0.00515953167421168,31.551156839078,1,2,4,3,1,2,4,3
"29",-1.5,-1,0.75,-1.5,0.000587818487645997,1.12617441721448,1,2,4,3,1,2,4,3
"30",-1.5,-1,0.75,-1,0.00117563697529155,3.37857217374332,1,2,4,3,1,2,4,3
"31",-1.5,-1,0.75,1,0.00352691092587354,23.6503965930022,1,2,4,3,1,2,4,3
"32",-1.5,-1,0.75,1.5,0.00411472941351865,31.5339110461028,1,2,4,3,1,2,4,3
"33",-1.5,0,-0.75,-1.5,0,2.53109269169907,2,1,4,3,2,1,4,3
"34",-1.5,0,-0.75,-1,0,5.06218538339813,2,1,3.5,3.5,2,1,3,4
"35",-1.5,0,-0.75,1,0,15.1865561501944,1,2,3,4,1,2,3,4
"36",-1.5,0,-0.75,1.5,0,17.7176488418934,1,2,3,4,1,2,3,4
"37",-1.5,0,-0.2,-1.5,8.88178419700125e-16,2.53111973600324,2,1,4,3,2,1,4,3
"38",-1.5,0,-0.2,-1,0,5.06223947200647,2,1,3,4,2,1,3.5,3.5
"39",-1.5,0,-0.2,1,8.88178419700125e-16,15.1867184160194,1,2,3,4,1,2,3,4
"40",-1.5,0,-0.2,1.5,-8.88178419700125e-16,17.7178381520226,1,2,3,4,1,2,3,4
"41",-1.5,0,0.2,-1.5,0,2.53407160702326,2,1,4,3,2,1,4,3
"42",-1.5,0,0.2,-1,8.88178419700125e-16,5.06814321404652,2,1,4,3,2,1,3,4
"43",-1.5,0,0.2,1,0,15.2044296421396,1,2,3,4,1,2,3,4
"44",-1.5,0,0.2,1.5,0,17.7385012491628,1,2,3,4,1,2,3,4
"45",-1.5,0,0.75,-1.5,8.88178419700125e-16,2.53282713254475,2,1,4,3,2,1,4,3
"46",-1.5,0,0.75,-1,8.88178419700125e-16,5.0656542650895,2,1,4,3,2,1,3,4
"47",-1.5,0,0.75,1,0,15.1969627952685,1,2,3,4,1,2,3,4
"48",-1.5,0,0.75,1.5,0,17.7297899278133,1,2,3,4,1,2,3,4
"49",-1.5,1,-0.75,-1.5,-0.000518965378978109,4.49996606805721,2,1,3,4,2,1,4,3
"50",-1.5,1,-0.75,-1,-0.00103793075795711,6.74927861269776,2,1,3,4,2,1,3,4
"51",-1.5,1,-0.75,1,-0.00311379227387043,-6.76000644290664,3,2,1,4,2,1,3,4
"52",-1.5,1,-0.75,1.5,-0.00363275765284854,-15.7639615153494,3,2,1,4,2,1,3,4
"53",-1.5,1,-0.2,-1.5,-0.000680163766660691,4.49980712688271,2,1,4,3,2,1,4,3
"54",-1.5,1,-0.2,-1,-0.00136032753331783,6.74911042739765,2,1,3,4,2,1,3,4
"55",-1.5,1,-0.2,1,-0.00408098259995349,-6.75871463422034,3,1,2,4,2,1,3,4
"56",-1.5,1,-0.2,1.5,-0.00476114636661329,-15.7619304655443,3,2,1,4,2,1,3,4
"57",-1.5,1,0.2,-1.5,-0.000737075953459509,4.50407844521317,2,1,4,3,2,1,4,3
"58",-1.5,1,0.2,-1,-0.00147415190691813,6.75570589371609,2,1,3,4,2,1,3,4
"59",-1.5,1,0.2,1,-0.0044224557207535,-6.76229427937464,2,1,3,4,2,1,3,4
"60",-1.5,1,0.2,1.5,-0.00515953167421301,-15.7729218144229,3,1,2,4,2,1,3,4
"61",-1.5,1,0.75,-1.5,-0.000587818487644221,4.50185693843971,2,1,4,3,2,1,4,3
"62",-1.5,1,0.75,-1,-0.00117563697529022,6.75243968539342,2,1,3,4,2,1,3,4
"63",-1.5,1,0.75,1,-0.00352691092587243,-6.75797124165181,2,1,3,4,2,1,3,4
"64",-1.5,1,0.75,1.5,-0.00411472941351931,-15.7637594521281,2,1,3,4,2,1,3,4
"65",-1.5,1.5,-0.75,-1.5,-0.000778448068468052,5.69537320846711,2,1,3,4,2,1,4,3
"66",-1.5,1.5,-0.75,-1,-0.00155689613693522,7.59282982482986,2,1,3,4,2,1,3,4
"67",-1.5,1.5,-0.75,1,-0.00467068841080476,-22.7965096307627,3,2,1,4,2,1,3,4
"68",-1.5,1.5,-0.75,1.5,-0.00544913647927103,-39.8886359749217,3,2,1,4,2,1,3,4
"69",-1.5,1.5,-0.2,-1.5,-0.0010202456499897,5.69508471190417,2,1,3,4,2,1,4,3
"70",-1.5,1.5,-0.2,-1,-0.00204049129997852,7.59252863811055,2,1,3,4,2,1,3,4
"71",-1.5,1.5,-0.2,1,-0.00612147389993289,-22.7941035140419,3,2,1,4,2,1,3,4
"72",-1.5,1.5,-0.2,1.5,-0.00714171954992437,-39.8848635163245,3,2,1,4,2,1,3,4
"73",-1.5,1.5,0.2,-1.5,-0.00110561393018926,5.70007868051844,2,1,4,3,2,1,4,3
"74",-1.5,1.5,0.2,-1,-0.00221122786037675,7.59938488901443,2,1,3,4,2,1,3,4
"75",-1.5,1.5,0.2,1,-0.00663368358113026,-22.8111149972261,3,1,2,4,2,1,3,4
"76",-1.5,1.5,0.2,1.5,-0.00773929751131774,-39.9156711488423,3,2,1,4,2,1,3,4
"77",-1.5,1.5,0.75,-1.5,-0.000881727731467663,5.69726325034895,2,1,4,3,2,1,4,3
"78",-1.5,1.5,0.75,-1,-0.0017634554629371,7.59572114390452,2,1,3,4,2,1,3,4
"79",-1.5,1.5,0.75,1,-0.00529036638880953,-22.798500849807,2,1,3,4,2,1,3,4
"80",-1.5,1.5,0.75,1.5,-0.00617209412027897,-39.8940697402183,3,1,2,4,2,1,3,4
"81",-0.5,-1.5,-0.75,-1.5,0.000151813921111632,-0.000119449085666686,1,4,3,2,1,4,2,3
"82",-0.5,-1.5,-0.75,-1,0.00030362784222282,-8.62762390275946e-05,1,3,4,2,1,4,2,3
"83",-0.5,-1.5,-0.75,1,0.000910883526668294,0.00157263447058753,2,3,4,1,1,4,2,3
"84",-0.5,-1.5,-0.75,1.5,0.0010626974477782,0.00236891697875509,2,3,4,1,1,4,2,3
"85",-0.5,-1.5,-0.2,-1.5,0.000117181683472634,-9.61309504087463e-05,1,4,3,2,1,4,2,3
"86",-0.5,-1.5,-0.2,-1,0.000234363366945489,-6.4437352428656e-05,1,4,3,2,1,4,2,3
"87",-0.5,-1.5,-0.2,1,0.000703090100836301,0.00134058252337807,1,3,4,2,1,4,2,3
"88",-0.5,-1.5,-0.2,1.5,0.000820271784310211,0.00201139886330143,1,3,4,2,1,4,2,3
"89",-0.5,-1.5,0.2,-1.5,0.000800451179413297,-1.59079308649738e-05,1,4,3,2,1,4,2,3
"90",-0.5,-1.5,0.2,-1,0.00160090235882726,2.0677475910759e-05,1,4,3,2,1,4,2,3
"91",-0.5,-1.5,0.2,1,0.00480270707647951,0.000691952479420255,1,3,4,2,1,4,2,3
"92",-0.5,-1.5,0.2,1.5,0.00560315825589264,0.000991004574399437,1,3,4,2,1,4,2,3
"93",-0.5,-1.5,0.75,-1.5,0.000570554964621994,-1.67162742189826e-06,1,4,3,2,1,4,2,3
"94",-0.5,-1.5,0.75,-1,0.00114110992924377,2.96041448149955e-05,1,4,3,2,1,4,2,3
"95",-0.5,-1.5,0.75,1,0.00342332978773091,0.00048418123034999,1,4,3,2,1,4,2,3
"96",-0.5,-1.5,0.75,1.5,0.00399388475235141,0.000680194000880177,1,4,3,2,1,4,2,3
"97",-0.5,-1,-0.75,-1.5,0.000101209280740644,0.0623615401041085,1,3,4,2,1,4,2,3
"98",-0.5,-1,-0.75,-1,0.000202418561482176,0.12485878889161,1,3,4,2,1,4,2,3
"99",-0.5,-1,-0.75,1,0.000607255684445196,0.376204870875544,1,3,4,2,1,3,2,4
"100",-0.5,-1,-0.75,1.5,0.000708464965185618,0.43938066308001,1,3,4,2,1,3,2,4
"101",-0.5,-1,-0.2,-1.5,7.81211223155331e-05,0.062391156573961,1,3,4,2,1,4,2,3
"102",-0.5,-1,-0.2,-1,0.000156242244630178,0.124895959936664,1,3,4,2,1,3,2,4
"103",-0.5,-1,-0.2,1,0.000468726733890978,0.376051641274894,1,3,4,2,1,3,2,4
"104",-0.5,-1,-0.2,1.5,0.000546847856206067,0.439124678581306,1,3,4,2,1,3,2,4
"105",-0.5,-1,0.2,-1.5,0.000533634119609161,0.0627269526148205,1,3,4,2,1,4,2,3
"106",-0.5,-1,0.2,-1,0.00106726823921832,0.125500542216486,1,3,4,2,1,3,2,4
"107",-0.5,-1,0.2,1,0.00320180471765297,0.377061270491597,1,3,4,2,1,3,2,4
"108",-0.5,-1,0.2,1.5,0.00373543883726235,0.440068045027487,1,3,4,2,1,3,2,4
"109",-0.5,-1,0.75,-1.5,0.000380369976414663,0.0626417778365419,1,4,3,2,1,4,2,3
"110",-0.5,-1,0.75,-1,0.000760739952828882,0.125312829912424,1,4,3,2,1,4,2,3
"111",-0.5,-1,0.75,1,0.00228221985848687,0.376289780609361,1,2,4,3,1,3,2,4
"112",-0.5,-1,0.75,1.5,0.00266258983490242,0.439107203881946,1,2,4,3,1,3,2,4
"113",-0.5,0,-0.75,-1.5,0,0.281197565529098,1,2,4,3,1,2,4,3
"114",-0.5,0,-0.75,-1,0,0.562395131058197,1,2,3.5,3.5,1,2,4,3
"115",-0.5,0,-0.75,1,0,1.68718539317459,1,2,3,4,1,2,3,4
"116",-0.5,0,-0.75,1.5,0,1.96838295870369,1,2,3,4,1,2,3,4
"117",-0.5,0,-0.2,-1.5,8.88178419700125e-16,0.281206579785055,1,2,4,3,1,2,4,3
"118",-0.5,0,-0.2,-1,0,0.56241315957011,1,2,3,4,1,2,3.5,3.5
"119",-0.5,0,-0.2,1,0,1.68723947871033,1,2,3,4,1,2,3,4
"120",-0.5,0,-0.2,1.5,-8.88178419700125e-16,1.96844605849539,1,2,3,4,1,2,3,4
"121",-0.5,0,0.2,-1.5,0,0.282191059594218,1,2,4,3,1,2,4,3
"122",-0.5,0,0.2,-1,0,0.564382119188436,1,2,3.5,3.5,1,2,3,4
"123",-0.5,0,0.2,1,0,1.69314635756531,1,2,3,4,1,2,3,4
"124",-0.5,0,0.2,1.5,8.88178419700125e-16,1.97533741715953,1,2,3,4,1,2,3,4
"125",-0.5,0,0.75,-1.5,0,0.281775874573186,1,2,4,3,1,2,4,3
"126",-0.5,0,0.75,-1,0,0.563551749146373,1,2,4,3,1,2,3.5,3.5
"127",-0.5,0,0.75,1,-8.88178419700125e-16,1.69065524743912,1,2,3,4,1,2,3,4
"128",-0.5,0,0.75,1.5,0,1.97243112201231,1,2,3,4,1,2,3,4
"129",-0.5,1,-0.75,-1.5,-0.0001012092807402,0.625198987014675,2,1,3,4,2,1,4,3
"130",-0.5,1,-0.75,-1,-0.000202418561481288,1.25012642243187,2,1,3,4,2,1,4,3
"131",-0.5,1,-0.75,1,-0.000607255684444752,3.74712064812582,1,2,3,4,1,2,3,4
"132",-0.5,1,-0.75,1.5,-0.000708464965187616,4.37069032555559,1,2,3,4,1,2,3,4
"133",-0.5,1,-0.2,-1.5,-7.81211223150891e-05,0.625143133879289,2,1,3,4,2,1,4,3
"134",-0.5,1,-0.2,-1,-0.000156242244630178,1.25005889927724,2,1,3,4,2,1,4,3
"135",-0.5,1,-0.2,1,-0.000468726733890534,3.74744827605564,1,2,3,4,1,2,3,4
"136",-0.5,1,-0.2,1.5,-0.000546847856204735,4.3712271990469,1,2,3,4,1,2,3,4
"137",-0.5,1,0.2,-1.5,-0.000533634119609161,0.626959681090984,2,1,3,4,2,1,4,3
"138",-0.5,1,0.2,-1,-0.00106726823921832,1.25382615948145,2,1,3,4,2,1,4,3
"139",-0.5,1,0.2,1,-0.00320180471765319,3.76036004603816,1,2,3,4,1,2,3,4
"140",-0.5,1,0.2,1.5,-0.00373543883726413,4.38676051092605,1,2,3,4,1,2,3,4
"141",-0.5,1,0.75,-1.5,-0.000380369976413775,0.626039568388122,2,1,4,3,2,1,4,3
"142",-0.5,1,0.75,-1,-0.000760739952829326,1.25202062531196,2,1,3,4,2,1,4,3
"143",-0.5,1,0.75,1,-0.00228221985848798,3.75535973836453,1,2,3,4,1,2,3,4
"144",-0.5,1,0.75,1.5,-0.00266258983490353,4.38104823796697,1,2,3,4,1,2,3,4
"145",-0.5,1.5,-0.75,-1.5,-0.00015181392111252,0.844136721280182,2,1,3,4,2,1,4,3
"146",-0.5,1.5,-0.75,-1,-0.000303627842222376,1.68781517407136,2,1,3,4,2,1,4,3
"147",-0.5,1.5,-0.75,1,-0.000910883526668016,5.05794630034599,3,2,1,4,2,1,3,4
"148",-0.5,1.5,-0.75,1.5,-0.00106269744777698,5.89933341069213,3,2,1,4,2,1,3,4
"149",-0.5,1.5,-0.2,-1.5,-0.000117181683473078,0.844031835007584,2,1,3,4,2,1,4,3
"150",-0.5,1.5,-0.2,-1,-0.000234363366946155,1.68767997165843,2,1,3,4,2,1,4,3
"151",-0.5,1.5,-0.2,1,-0.000703090100834913,5.05843553469451,2,1,3,4,2,1,3,4
"152",-0.5,1.5,-0.2,1.5,-0.000820271784307991,5.90016517956169,2,1,3,4,2,1,3,4
"153",-0.5,1.5,0.2,-1.5,-0.00080045117941463,0.84633318478338,2,1,3,4,2,1,4,3
"154",-0.5,1.5,0.2,-1,-0.00160090235882659,1.69250910337336,2,1,3,4,2,1,4,3
"155",-0.5,1.5,0.2,1,-0.00480270707648067,5.07564011579927,2,1,3,4,2,1,3,4
"156",-0.5,1.5,0.2,1.5,-0.00560315825589086,5.92102970342224,2,1,3,4,2,1,3,4
"157",-0.5,1.5,0.75,-1.5,-0.000570554964622438,0.845095014199947,2,1,4,3,2,1,4,3
"158",-0.5,1.5,0.75,-1,-0.0011411099292431,1.69009129724412,2,1,3,4,2,1,4,3
"159",-0.5,1.5,0.75,1,-0.0034233297877293,5.06908911786311,2,1,3,4,2,1,3,4
"160",-0.5,1.5,0.75,1.5,-0.0039938847523544,5.91359174512843,2,1,3,4,2,1,3,4
