"","mode.z","mode.y","mode.m","rho","alpha_1","beta_2","gamma_2","gamma_3","gamma_6","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0","con","con","con",-0.2,1.5,1.5,1,-1.5,1,41.956225172075,10.9768976277679,-6.74833660359903,2.74365607549579,2.24591591864837,34.9647215730636,7.49105020112696,-6.02590193769141,-5.97827912536083,-0.726201203552549,0.761111628043072,41.97067056791,10.9940246985502,-5.94980264152208,2.78772721184953,2.26708094892968,30.9793275443071,17.7252342313669,-9.49199267909481,0.497740156847417,30.9793275443071,13.5169521388184,-5.25207792180828,0.497740156847417,-0.0316326647379999,4.20828209254853,0.0159901475925792,12.5169521388184,3.5400545110505,-15.9330960923304,-32.9358956577897,12.4853194740804,3.5084218463125,-14.42641552977,-14.42641552977,27.4736713719366,13.5169521388184,-5.25207792180828,-1.48731283159562,5.50669930840611,4.20828209254853,30.9766458693598,16.9438273400723,-8.73752985337161,0.520646262919854,0.00671963444626256,0.781406891294635
"Ys01","bi","con","con",-0.2,1.5,1.5,1,-1.5,1,10.6482725119212,0.215712053198622,-1.58133575549078,0.151951744509225,1.21246174450922,9.91197751192118,-0.149197946801378,-1.47255575549078,-1.45524155053303,-0.655894050533029,0.869105949466971,10.6456938955291,0.217660245002586,-1.44918655053303,0.153865949466971,1.21614594946697,10.4325604587226,1.7970478086894,-1.7332875,-1.06051,10.4325604587226,1.3233578086894,-0.7993475,-1.06051,-0.46025,0.47369,0.442935795042254,2.2595975,2.10764575549078,-3.24350740458431,-3.24350740458431,1.7993475,1.64739575549078,-4.22227120213212,-4.22227120213212,10.0611754587226,1.3233578086894,-0.7993475,-1.525,0.392939204957746,0.47369,10.4280336505265,1.66684679553561,-1.6030525,-1.06228,0.0062628213498177,0.130201013153782
"Ys02","con","con","bi",-0.2,1.5,1.5,1,-1.5,1,10.5114410958277,4.03030246509452,1.00088491470983,1.50863121206872,1.5071874952621,10.4249494800359,3.98684415719865,1.00890496538599,1.02118030864182,1.24308234932101,1.29290496599726,10.5026524053138,4.02672061983759,1.02343324176597,1.52153990474503,1.51792778207215,6.48113863073316,3.02941755038469,-0.507746297358898,0.0014437168066237,6.48113863073316,2.97793919181266,-0.22190204067919,0.0014437168066237,-0.23436589810768,0.0514783585720284,0.222090554851849,1.97793919181266,1.05236327328185,-9.01289574487781,-12.0342932445863,1.74357329370498,1.28672917138953,-1.01597621935257,-1.50342712277947,6.43810532283729,2.97793919181266,-0.22190204067919,-0.0498226166762463,-0.127790913473115,0.0514783585720284,6.47593178547623,3.00328737807162,-0.498106662979066,0.0036121226728818,0.0195289773239129,0.0261301723130716
"Ys03","bi","con","bi",-0.2,1.5,1.5,1,-1.5,1,6.03137552881249,1.82254552881248,1.27807552881248,1.40314052881248,1.49917552881249,5.97826052881249,1.79450052881248,1.28524052881249,1.29319552881249,1.34973052881249,1.44482552881248,6.02897552881249,1.82029552881248,1.29277552881248,1.40965052881248,1.50649052881249,4.20883,0.54447,-0.125065,-0.0960350000000001,4.20883,0.50926,-0.056535,-0.0960350000000001,-0.0333199999999998,0.0352100000000002,0.0253649999999999,1.089855,1.31328552881249,-2.69678711524994,-3.23409211524994,1.056535,1.34660552881248,-1.39579711524994,-1.50574211524994,4.18376,0.50926,-0.056535,-0.0950949999999999,-0.0012350000000001,0.0352100000000002,4.20868,0.52752,-0.116875,-0.09684,0.0097149999999997,0.01695
"Ys04","con","bi","con",-0.2,1.5,1.5,1,-1.5,1,0.99666,0.88181,0.28959,0.67684,0.7798,0.97065,0.8055,0.29154,0.29319,0.53499,0.63861,0.99638,0.87967,0.29379,0.67656,0.77947,0.11485,0.59222,-0.38725,-0.10296,0.11485,0.51396,-0.2418,-0.10296,-0.06719,0.07826,0.06554,1.30899,0.63215,1.21565,0.62538,1.2418,0.56496,1.44453,1.40452,0.16515,0.51396,-0.2418,-0.10362,-0.11518,0.07826,0.11671,0.58588,-0.38277,-0.10291,-5.00000000001055e-05,0.00634000000000001
"Ys05","bi","bi","con",-0.2,1.5,1.5,1,-1.5,1,0.99012,0.55074,0.39243,0.53566,0.73789,0.96314,0.53424,0.39573,0.39985,0.49992,0.67492,0.98991,0.55406,0.40022,0.53827,0.73981,0.43938,0.15831,-0.14323,-0.20223,0.43938,0.13851,-0.10007,-0.20223,-0.02336,0.0198,0.0192400000000001,1.12343,0.58777,1.77496,1.76001,1.10007,0.56441,1.76396,1.76396,0.4289,0.13851,-0.10007,-0.175,-0.0359900000000001,0.0198,0.43585,0.15384,-0.13805,-0.20154,0.00212999999999997,0.00447000000000003
"Ys06","con","bi","bi",-0.2,1.5,1.5,1,-1.5,1,0.99469,0.93949,0.64812,0.74798,0.74528,0.99131,0.93291,0.65082,0.65139,0.69621,0.70591,0.99446,0.9382,0.65362,0.74957,0.74396,0.0551999999999999,0.29137,-0.0998599999999999,0.00269999999999992,0.0551999999999999,0.28209,-0.04482,0.00269999999999992,-0.04576,0.00927999999999995,0.04519,1.09058,0.6574,0.54387,0.2552,1.04482,0.70316,1.20821,1.11162,0.0584,0.28209,-0.04482,-0.00970000000000004,-0.0359900000000001,0.00927999999999995,0.05626,0.28458,-0.09595,0.00561,-0.00109000000000015,0.00678999999999996
"Ys07","bi","bi","bi",-0.2,1.5,1.5,1,-1.5,1,0.99006,0.84455,0.74078,0.76936,0.78604,0.98766,0.83742,0.74248,0.74512,0.75256,0.77,0.99067,0.84819,0.74404,0.76964,0.78784,0.14551,0.10377,-0.02858,-0.0166799999999999,0.14551,0.09494,-0.00744,-0.0166799999999999,-0.01231,0.00883,0.00967000000000007,1.01975,0.74961,0.73813,0.63606,1.00744,0.76192,0.9804,0.95616,0.15024,0.09494,-0.00744,-0.01744,-0.0136399999999999,0.00883,0.14248,0.10415,-0.0256,-0.0182,0.00119000000000002,-0.000379999999999936
"Ys08","con","con","con",-0.2,1.5,1.5,1,-0.5,1,49.9572623697901,18.9779348254829,1.25270059411602,5.47881006087292,3.48966633779702,42.9578352724868,15.4841639005502,1.96721176173181,2.02275807235422,2.00895278182459,2.00486204719172,49.9637842673333,18.9871383979734,2.04331105790114,5.5463066060387,3.52087082899777,30.9793275443071,17.7252342313669,-4.2261094667569,1.9891437230759,30.9793275443071,13.5169521388184,0.0138052905296342,1.9891437230759,-0.0316326647380007,4.20828209254853,0.0239136458844116,12.5169521388184,5.46098268666455,-47.9134743883151,-64.9241974520662,12.4853194740804,5.49261535140256,-7.51947369687632,-10.975525685395,27.4736713719366,13.5169521388184,0.0138052905296342,0.0040907346328658,5.51462280669795,4.20828209254853,30.9766458693599,16.9438273400723,-3.50299554813756,2.02543577704093,0.0246825936575368,0.781406891294637
"Ys09","bi","con","con",-0.2,1.5,1.5,1,-0.5,1,14.7342022689817,4.30164181025916,2.50459400156976,3.32791650156976,2.64638650156976,13.9953172689817,3.93414181025916,2.61078400156976,2.63068820652751,2.52007070652751,2.30303070652751,14.7290336525896,4.30100000206312,2.63415320652751,3.34222070652751,2.65538070652751,10.4325604587226,1.7970478086894,-0.8233225,0.68153,10.4325604587226,1.3233578086894,0.1106175,0.68153,-0.46025,0.47369,0.440345795042254,1.3496325,2.97828400156976,-10.7807094323472,-12.4715672410366,0.8893825,3.43853400156976,-6.99874612115229,-7.69597441619455,10.0611754587226,1.3233578086894,0.1106175,0.21704,0.395529204957746,0.47369,10.4280336505265,1.66684679553562,-0.7080675,0.68684,0.0141628213498195,0.130201013153782
"Ys010","con","con","bi",-0.2,1.5,1.5,1,-0.5,1,11.4904610958277,5.00932246509452,1.97990491470983,2.26679121206872,2.2151674952621,11.4041394800359,4.96603415719865,1.98809496538599,2.00020030864182,2.00124234932101,2.00088496599726,11.4810224053138,5.00509061983759,2.00180324176597,2.28073990474503,2.22594778207215,6.48113863073316,3.02941755038469,-0.286886297358898,0.051623716806624,6.48113863073316,2.97793919181266,-0.00104204067918934,0.051623716806624,-0.234365898107681,0.0514783585720284,0.222260554851849,1.97793919181266,2.03138327328185,-12.9294857448778,-15.9507132445863,1.74357329370498,2.26574917138953,-4.26947621935257,-4.53606712277947,6.43810532283729,2.97793919181266,-0.00104204067918934,0.000357383323753346,-0.127960913473114,0.0514783585720284,6.47593178547623,3.00328737807162,-0.278936662979067,0.054792122672882,0.0202189773239132,0.0261301723130716
"Ys011","bi","con","bi",-0.2,1.5,1.5,1,-0.5,1,6.98859552881248,2.77976552881249,2.23529552881249,2.29567052881248,2.28311552881248,6.93667052881248,2.75291052881248,2.24365052881249,2.25041552881249,2.24226052881248,2.22876552881249,6.98703552881249,2.77835552881248,2.25083552881248,2.30266052881248,2.28986052881248,4.20883,0.54447,-0.0603749999999996,0.0125549999999999,4.20883,0.50926,0.00815500000000036,0.0125549999999999,-0.0333199999999998,0.0352100000000002,0.0265549999999997,1.025165,2.27050552881249,-6.52923711524994,-7.06535211524994,0.991845,2.30382552881249,-5.03060711524994,-5.07586211524994,4.18376,0.50926,0.00815500000000036,0.0134949999999998,-0.00242500000000012,0.0352100000000002,4.20868,0.52752,-0.051825,0.0127999999999999,0.00830499999999956,0.01695
"Ys021","con","bi","con",-0.2,1.5,1.5,1,-0.5,1,0.99811,0.98174,0.59276,0.89875,0.88142,0.9941,0.95288,0.60003,0.60274,0.70152,0.76001,0.99833,0.98206,0.60384,0.90064,0.88281,0.0163700000000001,0.38898,-0.30599,0.0173300000000001,0.0163700000000001,0.35285,-0.09878,0.0173300000000001,-0.17108,0.03613,0.16837,1.26986,0.62889,0.51247,0.13076,1.09878,0.79997,1.09547,0.79946,0.04122,0.35285,-0.09878,-0.0584899999999999,-0.1174,0.03613,0.01627,0.37822,-0.2968,0.01783,0.00117,0.01076
"Ys031","bi","bi","con",-0.2,1.5,1.5,1,-0.5,1,0.99578,0.95794,0.73914,0.88765,0.89149,0.99826,0.91273,0.75394,0.75669,0.78867,0.84967,0.99603,0.95798,0.75553,0.88944,0.89268,0.03784,0.2188,-0.14851,-0.00383999999999995,0.03784,0.15879,-0.03198,-0.00383999999999995,-0.05652,0.06001,0.0537700000000001,1.0885,0.79915,0.46266,0.25866,1.03198,0.85567,0.77832,0.64736,0.08553,0.15879,-0.03198,-0.0610000000000001,-0.0443,0.06001,0.0380499999999999,0.20245,-0.13391,-0.00324000000000002,0.000940000000000052,0.01635
"Ys041","con","bi","bi",-0.2,1.5,1.5,1,-0.5,1,0.9968,0.97133,0.77661,0.83111,0.82477,0.99617,0.96808,0.77739,0.77582,0.79262,0.79653,0.9965,0.96977,0.77599,0.8334,0.82427,0.02547,0.19472,-0.0545,0.00634000000000001,0.02547,0.19069,-0.0168,0.00634000000000001,-0.03367,0.00402999999999998,0.03524,1.05047,0.78064,0.31512,0.12118,1.0168,0.81431,0.80783,0.75254,0.0280899999999999,0.19069,-0.0168,-0.00390999999999997,-0.02761,0.00402999999999998,0.02673,0.19378,-0.0574100000000001,0.00913000000000008,-0.000200000000000089,0.000939999999999941
"Ys051","bi","bi","bi",-0.2,1.5,1.5,1,-0.5,1,0.99511,0.92765,0.86947,0.87737,0.87944,0.99493,0.92497,0.86881,0.86982,0.87164,0.87369,0.99546,0.92871,0.87035,0.87752,0.8787,0.0674600000000001,0.05818,-0.00790000000000002,-0.00207000000000002,0.0674600000000001,0.05616,-0.00181999999999993,-0.00207000000000002,-0.00406000000000006,0.00202000000000002,0.00305,1.00588,0.87149,0.3536,0.29476,1.00182,0.87555,0.50953,0.50198,0.06996,0.05616,-0.00181999999999993,-0.00205,-0.00556999999999996,0.00202000000000002,0.06675,0.0583600000000001,-0.00717000000000001,-0.00118000000000007,-0.00108999999999992,-0.000180000000000069
"Ys061","con","con","con",-0.2,1.5,1.5,1,0,1,53.9577809686476,22.9784534243405,5.25321919297355,6.84638705356149,4.11154154737134,46.9543921221984,19.4807207502618,5.96376861144342,6.02327667121175,3.37652977451315,2.62673725676605,53.9603411170449,22.983695247685,6.03986790761275,6.92559630313329,4.14776576903182,30.9793275443071,17.7252342313669,-1.59316786058794,2.73484550619015,30.9793275443071,13.5169521388184,2.64674689669859,2.73484550619015,-0.031632664737999,4.20828209254853,0.0278753950303274,12.5169521388184,9.46150128552208,-63.9036635363075,-80.9183483492045,12.4853194740804,9.49313395026008,-15.6227232737995,-16.4458336561493,27.4736713719366,13.5169521388184,2.64674689669859,0.749792517747109,5.51858455584386,4.20828209254853,30.9766458693599,16.9438273400723,-0.885728395520531,2.77783053410147,0.0336640732631732,0.781406891294635
"Ys071","bi","con","con",-0.2,1.5,1.5,1,0,1,16.777167147512,6.34460668878943,4.54755888010003,4.91589888010003,3.36334888010003,16.036987147512,5.97581168878943,4.65245388010003,4.67365308505778,4.10805308505778,3.01999308505778,16.7707035311199,6.34266988059339,4.67582308505778,4.93639808505778,3.37499808505778,10.4325604587226,1.7970478086894,-0.36834,1.55255,10.4325604587226,1.3233578086894,0.5656,1.55255,-0.46025,0.47369,0.439050795042253,0.89465,5.02124888010003,-18.9486839464683,-20.6408367551577,0.4344,5.48149888010003,-13.8056581352734,-14.0479039303156,10.0611754587226,1.3233578086894,0.5656,1.08806,0.396824204957749,0.47369,10.4280336505265,1.66684679553561,-0.260575,1.5614,0.0181128213498183,0.130201013153783
"Ys081","con","con","bi",-0.2,1.5,1.5,1,0,1,11.9799710958277,5.49883246509452,2.46941491470983,2.64587121206872,2.5691574952621,11.8937344800359,5.45562915719865,2.47768996538599,2.48971030864182,2.38032234932101,2.35487496599726,11.9702074053138,5.49427561983759,2.49098824176597,2.66033990474503,2.57995778207215,6.48113863073316,3.02941755038469,-0.176456297358898,0.0767137168066241,6.48113863073316,2.97793919181266,0.10938795932081,0.0767137168066241,-0.234365898107681,0.051478358572028,0.22234555485185,1.97793919181266,2.52089327328185,-14.8877807448778,-17.9089232445863,1.74357329370498,2.75525917138953,-5.89622621935257,-6.05238712277947,6.43810532283729,2.97793919181266,0.10938795932081,0.0254473833237534,-0.128045913473116,0.051478358572028,6.47593178547623,3.00328737807162,-0.169351662979067,0.0803821226728818,0.0205639773239117,0.0261301723130707
