"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-2.7427728,-0.0614205000000001,0.17684385,0.13021515,-0.03398865,0.01714875,0.0045086999999997
"Ys1...2",-1.5,-1.5,-0.75,-1,-2.7767754,-0.0614205000000001,0.20175855,0.12120765,-0.05890335,0.0299248499999996,0.0082772999999996
"Ys1...3",-1.5,-1.5,-0.75,1,-2.831192,-0.0614205000000001,0.24163725,0.1068786,-0.0987820500000001,0.0504045,0.0144278999999998
"Ys1...4",-1.5,-1.5,-0.75,1.5,-2.8349544,-0.0614205000000001,0.24439575,0.1058784,-0.10154055,0.0517919999999998,0.0148151999999997
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-2.7433325,-0.0614205000000001,0.16132305,0.1301046,-0.0187164000000002,0.01710345,0.00460139999999987
"Ys1...6",-1.5,-1.5,-0.2,-1,-2.7774011,-0.0614205000000001,0.17506515,0.12114,-0.0324585000000002,0.0298174499999999,0.00835079999999966
"Ys1...7",-1.5,-1.5,-0.2,1,-2.8319433,-0.0614205000000001,0.19704195,0.1067301,-0.0544353000000002,0.0502167,0.0143401499999998
"Ys1...8",-1.5,-1.5,-0.2,1.5,-2.8357277,-0.0614205000000001,0.19857435,0.1056969,-0.0559677000000001,0.0516037499999999,0.0146939999999995
"Ys1...9",-1.5,-1.5,0.2,-1.5,-2.7432452,-0.0614205000000001,0.1502424,0.13020645,-0.00754680000000008,0.0171717,0.00468254999999962
"Ys1...10",-1.5,-1.5,0.2,-1,-2.7773408,-0.0614205000000001,0.1557813,0.12118185,-0.0130857,0.0298609499999998,0.00834719999999978
"Ys1...11",-1.5,-1.5,0.2,1,-2.8318092,-0.0614205000000001,0.1647255,0.1068105,-0.0220299000000002,0.0502690499999998,0.0143839499999996
"Ys1...12",-1.5,-1.5,0.2,1.5,-2.8355912,-0.0614205000000001,0.16534845,0.1057872,-0.0226528500000001,0.0516638999999999,0.0147554999999997
"Ys1...13",-1.5,-1.5,0.75,-1.5,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...14",-1.5,-1.5,0.75,-1,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...15",-1.5,-1.5,0.75,1,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...16",-1.5,-1.5,0.75,1.5,NA,-0.0610295999999999,NA,NA,NA,NA,NA
"Ys1...17",-1.5,-1,-0.75,-1.5,-2.7427728,-0.23205455,0.29471405,0.26362825,-0.00740775000000005,0.02668385,0.00300579999999995
"Ys1...18",-1.5,-1,-0.75,-1,-2.7767754,-0.21799475,0.31132385,0.25762325,-0.0128254499999998,0.0463933499999998,0.00551819999999958
"Ys1...19",-1.5,-1,-0.75,1,-2.831192,-0.1125609,0.33790965,0.24807055,-0.0214148999999999,0.0780428,0.00961860000000003
"Ys1...20",-1.5,-1,-0.75,1.5,-2.8349544,-0.0950494499999999,0.33974865,0.24740375,-0.0220297500000002,0.0801919499999997,0.00987679999999935
"Ys1...21",-1.5,-1,-0.2,-1.5,-2.7433325,-0.23205455,0.2842237,0.2634114,0.0027355499999997,0.02661545,0.0030676000000005
"Ys1...22",-1.5,-1,-0.2,-1,-2.7774011,-0.21799475,0.2933851,0.257435,0.00474975000000022,0.04626705,0.00556719999999977
"Ys1...23",-1.5,-1,-0.2,1,-2.8319433,-0.1125609,0.3080363,0.2478284,0.0080635,0.0778314999999998,0.00956009999999985
"Ys1...24",-1.5,-1,-0.2,1.5,-2.8357277,-0.0950494499999999,0.3090579,0.2471396,0.0082605499999997,0.0799748499999997,0.00979599999999969
"Ys1...25",-1.5,-1,0.2,-1.5,-2.7432452,-0.23205455,0.27685495,0.26349765,0.01020025,0.0266792499999999,0.00312170000000034
"Ys1...26",-1.5,-1,0.2,-1,-2.7773408,-0.21799475,0.28054755,0.25748125,0.0176765000000003,0.0463076,0.0055647999999997
"Ys1...27",-1.5,-1,0.2,1,-2.8318092,-0.1125609,0.28651035,0.24790035,0.0296970999999999,0.0778964000000002,0.00958930000000047
"Ys1...28",-1.5,-1,0.2,1.5,-2.8355912,-0.0950494499999999,0.28692565,0.24721815,0.0305010499999998,0.0800455499999999,0.00983699999999965
"Ys1...29",-1.5,-1,0.75,-1.5,NA,-0.2317312,NA,NA,NA,NA,NA
"Ys1...30",-1.5,-1,0.75,-1,NA,-0.2175666,NA,NA,NA,NA,NA
"Ys1...31",-1.5,-1,0.75,1,NA,-0.112251,NA,NA,NA,NA,NA
"Ys1...32",-1.5,-1,0.75,1.5,NA,-0.0947444000000002,NA,NA,NA,NA,NA
"Ys1...33",-1.5,0,-0.75,-1.5,-2.7427728,-0.57332265,0.53045445,0.53045445,0.0457540500000002,0.0457540500000002,4.44089209850063e-16
"Ys1...34",-1.5,0,-0.75,-1,-2.7767754,-0.53114325,0.53045445,0.53045445,0.0793303499999998,0.0793303499999998,0
"Ys1...35",-1.5,0,-0.75,1,-2.831192,-0.2148417,0.53045445,0.53045445,0.1333194,0.1333194,4.44089209850063e-16
"Ys1...36",-1.5,0,-0.75,1.5,-2.8349544,-0.16230735,0.53045445,0.53045445,0.13699185,0.13699185,0
"Ys1...37",-1.5,0,-0.2,-1.5,-2.7433325,-0.57332265,0.530025,0.530025,0.0456394499999999,0.0456394500000004,4.44089209850063e-16
"Ys1...38",-1.5,0,-0.2,-1,-2.7774011,-0.53114325,0.530025,0.530025,0.0791662499999997,0.0791662500000001,0
"Ys1...39",-1.5,0,-0.2,1,-2.8319433,-0.2148417,0.530025,0.530025,0.1330611,0.1330611,4.44089209850063e-16
"Ys1...40",-1.5,0,-0.2,1.5,-2.8357277,-0.16230735,0.530025,0.530025,0.13671705,0.13671705,0
"Ys1...41",-1.5,0,0.2,-1.5,-2.7432452,-0.57332265,0.53008005,0.53008005,0.0456943500000002,0.0456943500000002,0
"Ys1...42",-1.5,0,0.2,-1,-2.7773408,-0.53114325,0.53008005,0.53008005,0.0792008999999996,0.0792009,4.44089209850063e-16
"Ys1...43",-1.5,0,0.2,1,-2.8318092,-0.2148417,0.53008005,0.53008005,0.1331511,0.1331511,4.44089209850063e-16
"Ys1...44",-1.5,0,0.2,1.5,-2.8355912,-0.16230735,0.53008005,0.53008005,0.13680885,0.13680885,-4.44089209850063e-16
"Ys1...45",-1.5,0,0.75,-1.5,NA,-0.5731344,NA,NA,NA,NA,NA
"Ys1...46",-1.5,0,0.75,-1,NA,-0.530640599999999,NA,NA,NA,NA,NA
"Ys1...47",-1.5,0,0.75,1,NA,-0.2146938,NA,NA,NA,NA,NA
"Ys1...48",-1.5,0,0.75,1.5,NA,-0.162174,NA,NA,NA,NA,NA
"Ys1...49",-1.5,1,-0.75,-1.5,-2.7427728,-0.914590749999999,0.76619485,0.797280649999999,0.0989158499999991,0.06482425,-0.0030057999999995
"Ys1...50",-1.5,1,-0.75,-1,-2.7767754,-0.84429175,0.74958505,0.80328565,0.17148615,0.112267350000001,-0.00551819999999825
"Ys1...51",-1.5,1,-0.75,1,-2.831192,-0.3171225,0.722999249999999,0.81283835,0.288053700000001,0.188596,-0.00961859999999959
"Ys1...52",-1.5,1,-0.75,1.5,-2.8349544,-0.22956525,0.72116025,0.81350515,0.29601345,0.19379175,-0.00987680000000069
"Ys1...53",-1.5,1,-0.2,-1.5,-2.7433325,-0.914590749999999,0.7758263,0.7966386,0.0885433499999992,0.0646634500000003,-0.00306759999999873
"Ys1...54",-1.5,1,-0.2,-1,-2.7774011,-0.84429175,0.7666649,0.802615,0.15358275,0.11206545,-0.00556719999999888
"Ys1...55",-1.5,1,-0.2,1,-2.8319433,-0.3171225,0.7520137,0.8122216,0.2580587,0.1882907,-0.00956009999999896
"Ys1...56",-1.5,1,-0.2,1.5,-2.8357277,-0.22956525,0.7509921,0.8129104,0.26517355,0.19345925,-0.00979599999999969
"Ys1...57",-1.5,1,0.2,-1.5,-2.7432452,-0.914590749999999,0.78330515,0.796662449999999,0.0811884499999991,0.0647094499999996,-0.00312170000000034
"Ys1...58",-1.5,1,0.2,-1,-2.7773408,-0.84429175,0.77961255,0.80267885,0.1407253,0.1120942,-0.00556479999999926
"Ys1...59",-1.5,1,0.2,1,-2.8318092,-0.3171225,0.77364975,0.81225975,0.2366051,0.1884058,-0.00958930000000002
"Ys1...60",-1.5,1,0.2,1.5,-2.8355912,-0.22956525,0.77323445,0.812941949999999,0.24311665,0.19357215,-0.00983700000000098
"Ys1...61",-1.5,1,0.75,-1.5,NA,-0.914537600000001,NA,NA,NA,NA,NA
"Ys1...62",-1.5,1,0.75,-1,NA,-0.8437146,NA,NA,NA,NA,NA
"Ys1...63",-1.5,1,0.75,1,NA,-0.3171366,NA,NA,NA,NA,NA
"Ys1...64",-1.5,1,0.75,1.5,NA,-0.2296036,NA,NA,NA,NA,NA
"Ys1...65",-1.5,1.5,-0.75,-1.5,-2.7427728,-1.0852248,0.88406505,0.93069375,0.12549675,0.0743593499999999,-0.00450870000000059
"Ys1...66",-1.5,1.5,-0.75,-1,-2.7767754,-1.000866,0.859150349999999,0.93970125,0.217564050000001,0.128735850000001,-0.0082772999999996
"Ys1...67",-1.5,1.5,-0.75,1,-2.831192,-0.3682629,0.81927165,0.9540303,0.36542085,0.2162343,-0.0144279000000003
"Ys1...68",-1.5,1.5,-0.75,1.5,-2.8349544,-0.2631942,0.81651315,0.955030499999999,0.37552425,0.222191700000001,-0.0148152000000001
"Ys1...69",-1.5,1.5,-0.2,-1.5,-2.7433325,-1.0852248,0.89872695,0.9299454,0.1099953,0.0741754500000003,-0.00460139999999942
"Ys1...70",-1.5,1.5,-0.2,-1,-2.7774011,-1.000866,0.884984849999999,0.93891,0.190791000000001,0.128515050000001,-0.00835079999999966
"Ys1...71",-1.5,1.5,-0.2,1,-2.8319433,-0.3682629,0.863008049999999,0.9533199,0.3205575,0.215905500000001,-0.0143401499999989
"Ys1...72",-1.5,1.5,-0.2,1.5,-2.8357277,-0.2631942,0.861475649999999,0.9543531,0.3294018,0.22183035,-0.0146939999999995
"Ys1...73",-1.5,1.5,0.2,-1.5,-2.7432452,-1.0852248,0.9099177,0.92995365,0.0989354999999996,0.074217,-0.00468254999999917
"Ys1...74",-1.5,1.5,0.2,-1,-2.7773408,-1.000866,0.904378799999999,0.93897825,0.1714875,0.12854085,-0.00834720000000022
"Ys1...75",-1.5,1.5,0.2,1,-2.8318092,-0.3682629,0.8954346,0.9533496,0.2883321,0.21603315,-0.0143839499999991
"Ys1...76",-1.5,1.5,0.2,1.5,-2.8355912,-0.2631942,0.894811649999999,0.9543729,0.29627055,0.221953800000001,-0.0147554999999988
"Ys1...77",-1.5,1.5,0.75,-1.5,NA,-1.0852392,NA,NA,NA,NA,NA
"Ys1...78",-1.5,1.5,0.75,-1,NA,-1.0002516,NA,NA,NA,NA,NA
"Ys1...79",-1.5,1.5,0.75,1,NA,-0.368358,NA,NA,NA,NA,NA
"Ys1...80",-1.5,1.5,0.75,1.5,NA,-0.2633184,NA,NA,NA,NA,NA
"Ys1...81",-0.5,-1.5,-0.75,-1.5,-3.1831974,-0.0614205000000001,0.0974507999999998,0.0412975499999999,-0.0480437999999999,0.00580004999999995,-0.00230940000000013
"Ys1...82",-0.5,-1.5,-0.75,-1,-3.2464746,-0.0614205000000001,0.13261755,0.0355428,-0.08321055,0.0102967499999997,-0.00356745000000025
"Ys1...83",-0.5,-1.5,-0.75,1,-3.3477962,-0.0614205000000001,0.1889187,0.0262932,-0.1395117,0.0175125,-0.00560129999999992
"Ys1...84",-0.5,-1.5,-0.75,1.5,-3.3548048,-0.0614205000000001,0.19281705,0.0255993000000001,-0.14341005,0.0179762999999999,-0.00583139999999993
"Ys1...85",-0.5,-1.5,-0.2,-1.5,-3.1827911,-0.0614205000000001,0.0803311500000001,0.0414907499999999,-0.0306918,0.00584339999999983,-0.00230520000000034
"Ys1...86",-0.5,-1.5,-0.2,-1,-3.2460701,-0.0614205000000001,0.1028196,0.0356784000000001,-0.05318025,0.0103088999999996,-0.00365205000000035
"Ys1...87",-0.5,-1.5,-0.2,1,-3.3472425,-0.0614205000000001,0.13884135,0.0264042,-0.0892020000000002,0.01755795,-0.00567720000000005
"Ys1...88",-0.5,-1.5,-0.2,1.5,-3.3542319,-0.0614205000000001,0.14132415,0.0257425499999999,-0.0916847999999999,0.0180512999999998,-0.00584550000000039
"Ys1...89",-0.5,-1.5,0.2,-1.5,-3.1831052,-0.0614205000000001,0.0675367499999999,0.0413095499999998,-0.0181618499999998,0.00582839999999996,-0.00223695000000035
"Ys1...90",-0.5,-1.5,0.2,-1,-3.2464496,-0.0614205000000001,0.0808767000000001,0.0355476000000001,-0.0315018,0.0101989499999999,-0.00362835000000006
"Ys1...91",-0.5,-1.5,0.2,1,-3.3477696,-0.0614205000000001,0.10221,0.02629065,-0.0528350999999998,0.0173394,-0.00574485000000013
"Ys1...92",-0.5,-1.5,0.2,1.5,-3.3548356,-0.0614205000000001,0.1037001,0.0256298999999998,-0.0543252000000001,0.0177931499999997,-0.00595185000000065
"Ys1...93",-0.5,-1.5,0.75,-1.5,-3.1826989,-0.0614205000000001,0.0504171000000002,0.0415027499999998,-0.000809850000000001,0.00587174999999984,-0.00223275000000056
"Ys1...94",-0.5,-1.5,0.75,-1,-3.2460451,-0.0614205000000001,0.0510787500000003,0.0356832000000002,-0.00147150000000007,0.0102110999999998,-0.00371295000000016
"Ys1...95",-0.5,-1.5,0.75,1,-3.3472159,-0.0614205000000001,0.0521326500000003,0.0264016499999999,-0.00252540000000012,0.01738485,-0.00582075000000026
"Ys1...96",-0.5,-1.5,0.75,1.5,-3.3542627,-0.0614205000000001,0.0522072000000002,0.02577315,-0.00259995000000002,0.01786815,-0.00596595000000022
"Ys1...97",-0.5,-1,-0.75,-1.5,-3.1831974,-0.23205455,0.12613795,0.08870245,-0.0268113000000003,0.0090846,-0.00153960000000009
"Ys1...98",-0.5,-1,-0.75,-1,-3.2464746,-0.21799475,0.14958245,0.0848659499999997,-0.04638235,0.0159558500000001,-0.00237830000000061
"Ys1...99",-0.5,-1,-0.75,1,-3.3477962,-0.1125609,0.18711655,0.0786995500000001,-0.0776463500000002,0.0270364500000002,-0.0037341999999998
"Ys1...100",-0.5,-1,-0.75,1.5,-3.3548048,-0.0950494499999999,0.18971545,0.07823695,-0.0798326500000002,0.0277582499999998,-0.0038876000000001
"Ys1...101",-0.5,-1,-0.2,-1.5,-3.1827911,-0.23205455,0.11482645,0.08893285,-0.0152046000000001,0.00915219999999994,-0.00153679999999978
"Ys1...102",-0.5,-1,-0.2,-1,-3.2460701,-0.21799475,0.12981875,0.0850579499999999,-0.0263239,0.0160022,-0.00243470000000023
"Ys1...103",-0.5,-1,-0.2,1,-3.3472425,-0.1125609,0.15383325,0.07887515,-0.0440309999999999,0.0271423,-0.00378480000000003
"Ys1...104",-0.5,-1,-0.2,1.5,-3.3542319,-0.0950494499999999,0.15548845,0.0784340500000003,-0.0452688000000001,0.0278885999999998,-0.00389699999999982
"Ys1...105",-0.5,-1,0.2,-1.5,-3.1831052,-0.23205455,0.10619085,0.0887060499999999,-0.00686790000000004,0.00912559999999996,-0.00149130000000008
"Ys1...106",-0.5,-1,0.2,-1,-3.2464496,-0.21799475,0.11508415,0.0848647499999999,-0.0119045499999997,0.01589595,-0.00241890000000033
"Ys1...107",-0.5,-1,0.2,1,-3.3477696,-0.1125609,0.12930635,0.0786934499999998,-0.0198562500000001,0.0269267499999999,-0.00382990000000039
"Ys1...108",-0.5,-1,0.2,1.5,-3.3548356,-0.0950494499999999,0.13029975,0.07825295,-0.0204514000000002,0.0276274999999999,-0.00396790000000014
"Ys1...109",-0.5,-1,0.75,-1.5,-3.1826989,-0.23205455,0.0948793500000003,0.0889364499999998,0.00473879999999971,0.0091931999999999,-0.00148850000000023
"Ys1...110",-0.5,-1,0.75,-1,-3.2460451,-0.21799475,0.09532045,0.0850567499999997,0.00815390000000038,0.0159422999999999,-0.00247530000000085
"Ys1...111",-0.5,-1,0.75,1,-3.3472159,-0.1125609,0.0960230500000003,0.0788690499999998,0.0137590999999997,0.0270326000000001,-0.00388050000000018
"Ys1...112",-0.5,-1,0.75,1.5,-3.3542627,-0.0950494499999999,0.0960727499999998,0.0784500500000003,0.0141124499999998,0.02775785,-0.00397729999999941
"Ys1...113",-0.5,0,-0.75,-1.5,-3.1831974,-0.57332265,0.18351225,0.18351225,0.0156537000000001,0.0156537000000001,0
"Ys1...114",-0.5,0,-0.75,-1,-3.2464746,-0.53114325,0.18351225,0.18351225,0.0272740499999999,0.0272740499999999,0
"Ys1...115",-0.5,0,-0.75,1,-3.3477962,-0.2148417,0.18351225,0.18351225,0.0460843499999997,0.0460843500000001,4.44089209850063e-16
"Ys1...116",-0.5,0,-0.75,1.5,-3.3548048,-0.16230735,0.18351225,0.18351225,0.0473221499999998,0.0473221499999998,-4.44089209850063e-16
"Ys1...117",-0.5,0,-0.2,-1.5,-3.1827911,-0.57332265,0.18381705,0.18381705,0.0157698000000002,0.0157698000000002,4.44089209850063e-16
"Ys1...118",-0.5,0,-0.2,-1,-3.2460701,-0.53114325,0.18381705,0.18381705,0.0273887999999998,0.0273887999999998,0
"Ys1...119",-0.5,0,-0.2,1,-3.3472425,-0.2148417,0.18381705,0.18381705,0.0463109999999998,0.0463110000000002,4.44089209850063e-16
"Ys1...120",-0.5,0,-0.2,1.5,-3.3542319,-0.16230735,0.18381705,0.18381705,0.0475631999999999,0.0475631999999999,0
"Ys1...121",-0.5,0,0.2,-1.5,-3.1831052,-0.57332265,0.18349905,0.18349905,0.01572,0.01572,0
"Ys1...122",-0.5,0,0.2,-1,-3.2464496,-0.53114325,0.18349905,0.18349905,0.0272899499999997,0.0272899500000001,4.44089209850063e-16
"Ys1...123",-0.5,0,0.2,1,-3.3477696,-0.2148417,0.18349905,0.18349905,0.0461014499999997,0.0461014500000001,4.44089209850063e-16
"Ys1...124",-0.5,0,0.2,1.5,-3.3548356,-0.16230735,0.18349905,0.18349905,0.0472961999999999,0.0472961999999999,0
"Ys1...125",-0.5,0,0.75,-1.5,-3.1826989,-0.57332265,0.18380385,0.18380385,0.0158361,0.0158361,0
"Ys1...126",-0.5,0,0.75,-1,-3.2460451,-0.53114325,0.18380385,0.18380385,0.0274046999999999,0.0274046999999999,0
"Ys1...127",-0.5,0,0.75,1,-3.3472159,-0.2148417,0.18380385,0.18380385,0.0463280999999998,0.0463281000000002,8.88178419700125e-16
"Ys1...128",-0.5,0,0.75,1.5,-3.3542627,-0.16230735,0.18380385,0.18380385,0.04753725,0.04753725,0
"Ys1...129",-0.5,1,-0.75,-1.5,-3.1831974,-0.914590749999999,0.24088655,0.27832205,0.0581186999999996,0.0222227999999998,0.00153960000000097
"Ys1...130",-0.5,1,-0.75,-1,-3.2464746,-0.84429175,0.21744205,0.28215855,0.10093045,0.0385922500000007,0.00237830000000017
"Ys1...131",-0.5,1,-0.75,1,-3.3477962,-0.3171225,0.17990795,0.28832495,0.16981505,0.0651322500000004,0.00373420000000113
"Ys1...132",-0.5,1,-0.75,1.5,-3.3548048,-0.22956525,0.17730905,0.28878755,0.174476950000001,0.0668860499999999,0.00388759999999966
"Ys1...133",-0.5,1,-0.2,-1.5,-3.1827911,-0.914590749999999,0.25280765,0.27870125,0.0467441999999991,0.0223873999999995,0.00153680000000023
"Ys1...134",-0.5,1,-0.2,-1,-3.2460701,-0.84429175,0.23781535,0.28257615,0.0811014999999999,0.0387754000000005,0.00243470000000023
"Ys1...135",-0.5,1,-0.2,1,-3.3472425,-0.3171225,0.213800849999999,0.28875895,0.136653000000001,0.0654797,0.00378480000000003
"Ys1...136",-0.5,1,-0.2,1.5,-3.3542319,-0.22956525,0.21214565,0.28920005,0.1403952,0.0672378,0.00389699999999937
"Ys1...137",-0.5,1,0.2,-1.5,-3.1831052,-0.914590749999999,0.26080725,0.27829205,0.0383078999999995,0.0223144,0.00149130000000053
"Ys1...138",-0.5,1,0.2,-1,-3.2464496,-0.84429175,0.25191395,0.28213335,0.0664844499999999,0.0386839500000002,0.00241889999999945
"Ys1...139",-0.5,1,0.2,1,-3.3477696,-0.3171225,0.23769175,0.28830465,0.11205915,0.0652761499999999,0.00382990000000039
"Ys1...140",-0.5,1,0.2,1.5,-3.3548356,-0.22956525,0.23669835,0.28874515,0.1150438,0.0669649000000003,0.00396789999999925
"Ys1...141",-0.5,1,0.75,-1.5,-3.1826989,-0.914590749999999,0.27272835,0.27867125,0.0269333999999999,0.0224789999999997,0.00148850000000067
"Ys1...142",-0.5,1,0.75,-1,-3.2460451,-0.84429175,0.27228725,0.28255095,0.0466555,0.0388671,0.00247529999999951
"Ys1...143",-0.5,1,0.75,1,-3.3472159,-0.3171225,0.271584649999999,0.28873865,0.0788971000000007,0.0656236000000003,0.00388050000000018
"Ys1...144",-0.5,1,0.75,1.5,-3.3542627,-0.22956525,0.271534949999999,0.28915765,0.080962050000001,0.0673166500000004,0.00397729999999985
"Ys1...145",-0.5,1.5,-0.75,-1.5,-3.1831974,-1.0852248,0.2695737,0.32572695,0.0793511999999996,0.0255073499999998,0.00230939999999968
"Ys1...146",-0.5,1.5,-0.75,-1,-3.2464746,-1.000866,0.23440695,0.3314817,0.13775865,0.0442513500000006,0.00356745000000025
"Ys1...147",-0.5,1.5,-0.75,1,-3.3477962,-0.3682629,0.1781058,0.3407313,0.2316804,0.0746562000000006,0.00560130000000036
"Ys1...148",-0.5,1.5,-0.75,1.5,-3.3548048,-0.2631942,0.174207450000001,0.341425200000001,0.23805435,0.0766680000000006,0.00583140000000082
"Ys1...149",-0.5,1.5,-0.2,-1.5,-3.1827911,-1.0852248,0.28730295,0.326143349999999,0.0622313999999999,0.0256961999999996,0.00230519999999945
"Ys1...150",-0.5,1.5,-0.2,-1,-3.2460701,-1.000866,0.2648145,0.3319557,0.10795785,0.0444687000000004,0.00365205000000035
"Ys1...151",-0.5,1.5,-0.2,1,-3.3472425,-0.3682629,0.22879275,0.3412299,0.181824,0.0750640499999999,0.00567720000000005
"Ys1...152",-0.5,1.5,-0.2,1.5,-3.3542319,-0.2631942,0.22630995,0.341891550000001,0.1868112,0.0770751000000001,0.00584550000000039
